model,site_id,site_type,light_regime,horizon_bucket,actual_peak_regime,rows,mean_error_kw,mean_abs_error_kw,max_abs_error_kw
direct_lgbm_p90_tiny,2. Load Profile (No Solar) E,non_solar,night,early,non_peak,10,494.98614269498137,494.98614269498137,592.7861426949814
direct_lgbm_p90_tiny,2. Load Profile (No Solar) E,non_solar,night,late,non_peak,13,459.1707580795968,459.1707580795968,572.7861426949814
direct_lgbm_p90_tiny,2. Load Profile (No Solar) E,non_solar,daylight,late,non_peak,3,441.4528093616481,441.4528093616481,548.7861426949814
direct_lgbm_p90_tiny,2. Load Profile (No Solar) E,non_solar,daylight,middle,non_peak,14,428.50042840926716,428.50042840926716,524.7861426949814
direct_lgbm_p90_tiny,2. Load Profile (No Solar) E,non_solar,daylight,early,non_peak,3,376.11947602831475,376.11947602831475,452.78614269498144
direct_lgbm_p90_tiny,2. Load Profile (No Solar) E,non_solar,night,early,actual_peak,1,279.78614269498144,279.78614269498144,279.78614269498144
direct_lgbm_p90_tiny,2. Load Profile (No Solar) E,non_solar,daylight,early,actual_peak,2,252.28614269498144,252.28614269498144,285.78614269498144
direct_lgbm_p90_tiny,2. Load Profile (No Solar) E,non_solar,daylight,middle,actual_peak,2,235.78614269498144,235.78614269498144,246.78614269498144
direct_lgbm_p50_tiny,2. Load Profile (No Solar) E,non_solar,night,early,non_peak,10,181.9708638196734,181.9708638196734,279.7708638196734
direct_lgbm_p50_tiny,2. Load Profile (No Solar) E,non_solar,night,late,non_peak,13,146.1554792042888,150.8413672597739,259.7708638196734
direct_lgbm_p50_tiny,2. Load Profile (No Solar) E,non_solar,daylight,late,non_peak,3,128.43753048634008,128.43753048634008,235.77086381967342
direct_lgbm_p50_tiny,2. Load Profile (No Solar) E,non_solar,daylight,middle,non_peak,14,112.80452051287047,112.80452051287047,197.79557491974845
direct_lgbm_p50_tiny,2. Load Profile (No Solar) E,non_solar,daylight,early,non_peak,3,77.12606954097903,77.12606954097903,150.98867943210018
direct_lgbm_p50_tiny,2. Load Profile (No Solar) E,non_solar,daylight,early,actual_peak,2,-60.72913618032658,60.72913618032658,94.22913618032658
direct_lgbm_p50_tiny,2. Load Profile (No Solar) E,non_solar,daylight,middle,actual_peak,2,-39.40987314202005,39.40987314202005,50.40987314202005
direct_lgbm_p50_tiny,2. Load Profile (No Solar) E,non_solar,night,early,actual_peak,1,-33.22913618032658,33.22913618032658,33.22913618032658
