site_id,model,blend_weight,calibration_intercept,calibration_slope,mae_kw,rmse_kw,mean_error_kw,wape_pct,smape_pct,mape_pct,nrmse_by_median_pct,nrmse_by_peak_pct,peak_precision,peak_recall,peak_f1,peak_false_negative_count,peak_false_positive_count,peak_capture_rate_at_k,md_peak_rank,peak_time_error_intervals,md_abs_error_kw
1. Load Profile (With Solar Installed) SoL,enhanced,0.65,-0.018017061634796595,1.0283586873691235,31.826629006179143,38.81297502116081,-22.314225910134912,4.251344666044968,4.140467828712862,4.072036748694047,5.695227442576788,4.160018758966861,0.6,0.6,0.6,2.0,0.0,0.4,12.0,4.0,40.024891881562326
1. Load Profile (With Solar Installed) SoL,enhanced_peak_priority,,,,31.826629006179143,38.81297502116081,-22.314225910134912,4.251344666044968,4.140467828712862,4.072036748694047,5.695227442576788,4.160018758966861,0.5,1.0,0.6666666666666666,0.0,1.0,0.4,13.0,4.0,40.024891881562326
1. Load Profile (With Solar Installed) SoL,ridge_only,,,,52.57179385524614,70.70467369189723,-36.373787545721605,7.022447000199852,6.96249908095909,6.709998447339341,10.374860409669438,7.57820725529445,0.6,0.6,0.6,2.0,0.0,0.4,17.0,5.0,7.165401550735737
1. Load Profile (With Solar Installed) SoL,seasonal,,,,18.67708333333335,23.13501584899681,-9.522916666666701,2.494851672510716,2.670677223940104,2.64968680993459,3.3947198604544115,2.4796372828506765,0.8,0.8,0.8000000000000002,1.0,0.0,0.4,12.0,11.0,11.0
2. Load Profile (No Solar) E,enhanced,0.3,0.010959948519415886,1.0052895385262808,129.03829892685687,141.18435091160825,6.9836051423330785,18.198437927101892,18.520131377916584,18.831594207788797,20.22698437129058,15.346125099087853,0.6,0.6,0.6,2.0,4.0,0.0,27.0,31.0,3.878334973477422
2. Load Profile (No Solar) E,enhanced_peak_priority,,,,129.03829892685687,141.18435091160825,6.9836051423330785,18.198437927101892,18.520131377916584,18.831594207788797,20.22698437129058,15.346125099087853,0.4,0.8,0.5333333333333333,1.0,2.0,0.4,6.0,31.0,3.878334973477422
2. Load Profile (No Solar) E,ridge_only,,,,141.9551598272051,168.84753903818475,-56.93932557039238,20.020119499649905,22.22022031751876,20.39562504855349,24.19019183928148,18.35299337371573,0.6,0.6,0.6,2.0,3.0,0.2,15.0,4.0,63.47928858331227
2. Load Profile (No Solar) E,seasonal,,,,109.01994791666665,123.79371335207126,43.550156249999965,15.37522403408256,14.906427045514864,15.876044191784274,17.735489018921385,13.455838407833832,0.8,0.8,0.8000000000000002,1.0,1.0,0.0,14.0,7.0,56.69999999999993
3. Load Profile (No Solar) SuN,enhanced,0.48,-0.05867013199022875,0.9980311106797184,46.303721775477335,67.93100408293319,42.38842194976829,50.99366479473301,33.18388804069434,52.102369566840835,112.79097513344138,45.30321634272413,0.2,0.2,0.20000000000000004,4.0,4.0,0.0,10.0,8.0,112.61527788804361
3. Load Profile (No Solar) SuN,enhanced_peak_priority,,,,46.303721775477335,67.93100408293319,42.38842194976829,50.99366479473301,33.18388804069434,52.102369566840835,112.79097513344138,45.30321634272413,0.4,0.8,0.5333333333333333,1.0,5.0,0.0,12.0,8.0,112.61527788804361
3. Load Profile (No Solar) SuN,ridge_only,,,,55.389650799225564,74.80518404587298,51.2519866165498,60.99987598510716,42.97862022503535,69.5537076331249,124.20469515318621,49.88760996746258,0.0,0.0,0.0,5.0,5.0,0.0,14.0,8.0,104.79816554740236
3. Load Profile (No Solar) SuN,seasonal,,,,61.95772068958333,86.21090203371577,56.898298587499994,68.23320284296382,40.39204054818417,63.427482803381096,143.14246990439187,57.49408828355685,0.8,0.8,0.8000000000000002,1.0,3.0,0.2,7.0,7.0,151.02971749999998
4. Load Profile (With Solar) Mi2,enhanced,0.2,0.0323134421747948,0.9,103.48288268116774,135.12882548820218,14.78683796130404,10.127384689575411,10.848326477921216,11.763955575332046,12.961997648748412,9.68665415686037,0.2,0.2,0.20000000000000004,4.0,4.0,0.0,17.0,31.0,83.23971729550067
4. Load Profile (With Solar) Mi2,enhanced_peak_priority,,,,103.48288268116774,135.12882548820218,14.78683796130404,10.127384689575411,10.848326477921216,11.763955575332046,12.961997648748412,9.68665415686037,0.5,1.0,0.6666666666666666,0.0,6.0,0.0,8.0,31.0,83.23971729550067
4. Load Profile (With Solar) Mi2,ridge_only,,,,145.55118204838115,176.17122774609226,34.721360347911975,14.244411968769333,14.823719428150925,16.26501461211207,16.898918728641945,12.628761845598012,0.2,0.2,0.20000000000000004,4.0,4.0,0.0,14.0,32.0,47.63276814326741
4. Load Profile (With Solar) Mi2,seasonal,,,,118.91041666666665,155.22833249227838,81.53541666666662,11.63720512977348,11.365800694584475,12.431290475555544,14.890007912928382,11.127479031704544,0.2,0.2,0.20000000000000004,4.0,4.0,0.0,19.0,31.0,51.59999999999991
