policy,alert_quantile,match_window_intervals,score_smoothing_window,mae_kw,rmse_kw,mean_error_kw,wape_pct,smape_pct,mape_pct,nrmse_by_median_pct,nrmse_by_peak_pct,peak_precision,peak_recall,peak_f1,peak_false_negative_count,peak_false_positive_count,peak_capture_rate_at_k,md_peak_rank,peak_time_error_intervals,md_abs_error_kw,site_id,fold,cutoff
current_20pct,0.8,2.0,1.0,113.93251602737057,157.1388558820478,-56.122619788050166,16.725061989460478,21.61341952988908,18.263845778543068,24.249823438587626,18.250738197682672,0.5,1.0,0.6666666666666666,0.0,1.0,0.4,2.0,2.0,55.156325966233,1. Load Profile (With Solar Installed) SoL,1,2448
smoothed_20pct,0.8,2.0,3.0,113.93251602737057,157.1388558820478,-56.122619788050166,16.725061989460478,21.61341952988908,18.263845778543068,24.249823438587626,18.250738197682672,0.5,1.0,0.6666666666666666,0.0,0.0,0.2,1.0,2.0,55.156325966233,1. Load Profile (With Solar Installed) SoL,1,2448
catch_more_25pct,0.75,2.0,1.0,113.93251602737057,157.1388558820478,-56.122619788050166,16.725061989460478,21.61341952988908,18.263845778543068,24.249823438587626,18.250738197682672,0.4166666666666667,1.0,0.5882352941176471,0.0,1.0,0.4,2.0,2.0,55.156325966233,1. Load Profile (With Solar Installed) SoL,1,2448
strict_15pct,0.85,2.0,1.0,113.93251602737057,157.1388558820478,-56.122619788050166,16.725061989460478,21.61341952988908,18.263845778543068,24.249823438587626,18.250738197682672,0.5,0.8,0.6153846153846154,1.0,1.0,0.4,2.0,2.0,55.156325966233,1. Load Profile (With Solar Installed) SoL,1,2448
strict_15pct,0.85,2.0,1.0,23.83405377174601,35.85972947135139,5.028427428878928,3.4446422408882587,3.7154262235039,3.84871671434908,5.5553415137647395,3.962401046558165,0.625,1.0,0.7692307692307693,0.0,3.0,0.6,14.0,1.0,16.01591915334484,1. Load Profile (With Solar Installed) SoL,2,2496
current_20pct,0.8,2.0,1.0,23.83405377174601,35.85972947135139,5.028427428878928,3.4446422408882587,3.7154262235039,3.84871671434908,5.5553415137647395,3.962401046558165,0.5,1.0,0.6666666666666666,0.0,5.0,0.6,14.0,1.0,16.01591915334484,1. Load Profile (With Solar Installed) SoL,2,2496
smoothed_20pct,0.8,2.0,3.0,23.83405377174601,35.85972947135139,5.028427428878928,3.4446422408882587,3.7154262235039,3.84871671434908,5.5553415137647395,3.962401046558165,0.5,1.0,0.6666666666666666,0.0,5.0,0.6,12.0,1.0,16.01591915334484,1. Load Profile (With Solar Installed) SoL,2,2496
catch_more_25pct,0.75,2.0,1.0,23.83405377174601,35.85972947135139,5.028427428878928,3.4446422408882587,3.7154262235039,3.84871671434908,5.5553415137647395,3.962401046558165,0.4166666666666667,1.0,0.5882352941176471,0.0,7.0,0.6,14.0,1.0,16.01591915334484,1. Load Profile (With Solar Installed) SoL,2,2496
current_20pct,0.8,2.0,1.0,43.991344123524584,56.901963926051934,-21.789290476879348,6.207074040768923,6.557300593340537,6.396594032247338,8.727295080682811,6.191726216110112,0.5,1.0,0.6666666666666666,0.0,3.0,0.2,9.0,7.0,25.497255703056908,1. Load Profile (With Solar Installed) SoL,3,2544
smoothed_20pct,0.8,2.0,3.0,43.991344123524584,56.901963926051934,-21.789290476879348,6.207074040768923,6.557300593340537,6.396594032247338,8.727295080682811,6.191726216110112,0.5,1.0,0.6666666666666666,0.0,3.0,0.2,10.0,7.0,25.497255703056908,1. Load Profile (With Solar Installed) SoL,3,2544
