model,site_id,site_type,light_regime,horizon_bucket,actual_peak_regime,rows,mean_error_kw,mean_abs_error_kw,max_abs_error_kw
direct_hgb,2. Load Profile (No Solar) E,non_solar,night,late,actual_peak,9,-372.986972012795,372.986972012795,755.674238262775
direct_hgb,2. Load Profile (No Solar) E,non_solar,daylight,middle,actual_peak,26,-0.7357434055315847,305.64088631714736,846.1638227062524
enhanced,2. Load Profile (No Solar) E,non_solar,night,late,actual_peak,9,-256.8857199265525,264.50099331782,590.0986368154068
enhanced_late_peak_uplift,2. Load Profile (No Solar) E,non_solar,night,late,actual_peak,9,-256.8857199265525,264.50099331782,590.0986368154068
enhanced,4. Load Profile (With Solar) Mi2,solar,daylight,late,actual_peak,4,-257.7213495780341,257.7213495780341,347.1952641802118
direct_hgb,2. Load Profile (No Solar) E,non_solar,night,early,actual_peak,8,-210.99187160267908,242.9053709403312,583.1730558499171
direct_hgb,4. Load Profile (With Solar) Mi2,solar,daylight,late,actual_peak,4,-236.60192711722692,236.60192711722692,315.8884977242799
enhanced,2. Load Profile (No Solar) E,non_solar,daylight,middle,actual_peak,26,-117.07949578116299,218.55479337763157,527.6393652554295
enhanced_late_peak_uplift,2. Load Profile (No Solar) E,non_solar,daylight,middle,actual_peak,26,-117.07949578116299,218.55479337763157,527.6393652554295
enhanced,4. Load Profile (With Solar) Mi2,solar,night,late,actual_peak,33,-216.11710543877282,216.11710543877282,700.4936792117325
direct_hgb,4. Load Profile (With Solar) Mi2,solar,daylight,middle,actual_peak,2,-214.27541680822083,214.27541680822083,248.75599181298378
direct_hgb,2. Load Profile (No Solar) E,non_solar,daylight,middle,non_peak,134,157.19101768000226,211.26475439097064,974.467310013428
enhanced,4. Load Profile (With Solar) Mi2,solar,night,early,actual_peak,11,-203.4048689275365,203.4048689275365,308.84630698909154
enhanced_late_peak_uplift,4. Load Profile (With Solar) Mi2,solar,night,early,actual_peak,11,-203.4048689275365,203.4048689275365,308.84630698909154
direct_hgb,4. Load Profile (With Solar) Mi2,solar,night,early,actual_peak,11,-199.1617794855711,199.1617794855711,326.5885585069036
direct_hgb,4. Load Profile (With Solar) Mi2,solar,daylight,middle,non_peak,158,136.73403517911063,197.01819409324509,596.279761303756
direct_hgb,2. Load Profile (No Solar) E,non_solar,daylight,late,non_peak,28,4.959077667964327,194.16614892866872,716.7151964633986
enhanced_late_peak_uplift,4. Load Profile (With Solar) Mi2,solar,night,late,actual_peak,33,-190.90930181153973,190.90930181153973,700.4936792117325
enhanced_late_peak_uplift,4. Load Profile (With Solar) Mi2,solar,daylight,late,actual_peak,4,-190.02655236965143,190.02655236965143,321.2450136997934
direct_hgb,2. Load Profile (No Solar) E,non_solar,night,late,non_peak,121,-4.9795458948131115,189.71591797386986,712.0744126419138
direct_hgb,4. Load Profile (With Solar) Mi2,solar,daylight,early,non_peak,50,143.80120275887515,184.49970407998833,556.6496481284689
direct_hgb,4. Load Profile (With Solar) Mi2,solar,night,late,actual_peak,33,-182.7874686971748,182.7874686971748,304.76393425256606
direct_hgb,2. Load Profile (No Solar) E,non_solar,daylight,early,actual_peak,6,-157.72365861395375,178.84203168458558,265.91798897399417
enhanced_late_peak_uplift,2. Load Profile (No Solar) E,non_solar,night,late,non_peak,121,36.96996646015072,172.7737306596345,473.5283921419011
enhanced,2. Load Profile (No Solar) E,non_solar,night,late,non_peak,121,33.36442483692932,169.29426234380858,473.5283921419011
direct_hgb,2. Load Profile (No Solar) E,non_solar,daylight,late,actual_peak,2,-168.97436658461942,168.97436658461942,218.99600927886354
enhanced,4. Load Profile (With Solar) Mi2,solar,daylight,middle,actual_peak,2,-167.60229776437882,167.60229776437882,228.50209109993716
enhanced_late_peak_uplift,4. Load Profile (With Solar) Mi2,solar,daylight,middle,actual_peak,2,-167.60229776437882,167.60229776437882,228.50209109993716
direct_hgb,4. Load Profile (With Solar) Mi2,solar,daylight,late,non_peak,26,106.11734777307204,167.29067352213696,445.1652063779097
enhanced_late_peak_uplift,1. Load Profile (With Solar Installed) SoL,solar,night,early,actual_peak,6,150.4170105830802,160.71885439134576,360.4858937918754
enhanced,1. Load Profile (With Solar Installed) SoL,solar,night,early,actual_peak,6,150.4170105830802,160.71885439134576,360.4858937918754
enhanced_late_peak_uplift,2. Load Profile (No Solar) E,non_solar,night,early,actual_peak,8,-139.03518488614935,159.03219422505208,410.6757243940549
enhanced,2. Load Profile (No Solar) E,non_solar,night,early,actual_peak,8,-139.03518488614935,159.03219422505208,410.6757243940549
direct_hgb,2. Load Profile (No Solar) E,non_solar,daylight,early,non_peak,44,-66.34453448002057,153.34587925663993,471.9366890093089
enhanced_late_peak_uplift,4. Load Profile (With Solar) Mi2,solar,night,early,non_peak,99,-50.80275511311378,152.9993721251345,540.3346235188843
enhanced,4. Load Profile (With Solar) Mi2,solar,night,early,non_peak,99,-50.80275511311378,152.9993721251345,540.3346235188843
enhanced,2. Load Profile (No Solar) E,non_solar,daylight,early,actual_peak,6,-109.9909054863407,152.05967801708377,203.8954290143214
enhanced_late_peak_uplift,2. Load Profile (No Solar) E,non_solar,daylight,early,actual_peak,6,-109.9909054863407,152.05967801708377,203.8954290143214
direct_hgb,2. Load Profile (No Solar) E,non_solar,night,early,non_peak,102,-69.45226752087909,151.5791885668683,468.1730558499171
enhanced_late_peak_uplift,4. Load Profile (With Solar) Mi2,solar,daylight,middle,non_peak,158,36.468202000956346,149.32452375835672,577.9213205488329
enhanced,4. Load Profile (With Solar) Mi2,solar,daylight,middle,non_peak,158,36.468202000956346,149.32452375835672,577.9213205488329
enhanced,4. Load Profile (With Solar) Mi2,solar,night,late,non_peak,97,11.37646741559993,148.71654828773492,743.2982810046151
direct_hgb,1. Load Profile (With Solar Installed) SoL,solar,night,late,non_peak,122,91.2849436478935,148.34535516291086,385.3581061409415
enhanced_late_peak_uplift,2. Load Profile (No Solar) E,non_solar,daylight,late,non_peak,28,10.529526470259214,147.8175364046152,496.1620972314861
enhanced,2. Load Profile (No Solar) E,non_solar,daylight,late,non_peak,28,9.760322835800812,147.0483327701568,496.1620972314861
direct_hgb,4. Load Profile (With Solar) Mi2,solar,night,late,non_peak,97,57.692387886105216,146.58368680736044,726.679849932302
enhanced_late_peak_uplift,4. Load Profile (With Solar) Mi2,solar,night,late,non_peak,97,23.732877498064518,144.91678209457046,805.52
enhanced_late_peak_uplift,2. Load Profile (No Solar) E,non_solar,daylight,middle,non_peak,134,14.873813341911978,144.08396328456155,575.3237060378767
enhanced,2. Load Profile (No Solar) E,non_solar,daylight,middle,non_peak,134,14.873813341911978,144.08396328456155,575.3237060378767
enhanced,4. Load Profile (With Solar) Mi2,solar,daylight,late,non_peak,26,57.390890068159585,142.73651070710855,322.6551850831065
enhanced_late_peak_uplift,4. Load Profile (With Solar) Mi2,solar,daylight,late,non_peak,26,66.73329301202983,141.5288270971988,326.22399999999993
enhanced,4. Load Profile (With Solar) Mi2,solar,daylight,early,non_peak,50,11.774075440034572,137.2567454395447,613.408087109078
enhanced_late_peak_uplift,4. Load Profile (With Solar) Mi2,solar,daylight,early,non_peak,50,11.774075440034572,137.2567454395447,613.408087109078
direct_hgb,4. Load Profile (With Solar) Mi2,solar,night,early,non_peak,99,37.81078787610219,130.4406907192339,466.3559353472424
enhanced,1. Load Profile (With Solar Installed) SoL,solar,daylight,middle,non_peak,122,27.762256137205082,129.40272013811528,519.1323545955256
