site_id,model,mae_kw,rmse_kw,mean_error_kw,wape_pct,smape_pct,mape_pct,nrmse_by_median_pct,nrmse_by_peak_pct,peak_precision,peak_recall,peak_f1,peak_false_negative_count,peak_false_positive_count,peak_capture_rate_at_k,md_peak_rank,peak_time_error_intervals,md_abs_error_kw,fold_count
1. Load Profile (With Solar Installed) SoL,direct_hgb,92.0402806100457,116.08846840925052,8.356990972536314,19.865189835131975,20.43373262479982,28.694108755816604,24.200408822903647,17.577425569391693,0.5366666666666666,0.5145454545454545,0.5113636363636364,2.7,2.4,0.2963636363636364,14.7,10.1,98.32019629900694,10
1. Load Profile (With Solar Installed) SoL,enhanced,111.20318964731885,139.5958558259695,-14.345115242054002,41.5940819677627,28.488475803401712,49.22355708463793,50.97727801097601,42.193638870544795,0.58,0.5581818181818182,0.5650000000000001,2.7,1.0,0.4581818181818182,9.9,5.8,110.49373399139051,10
1. Load Profile (With Solar Installed) SoL,enhanced_late_peak_uplift,110.87837298065217,139.35678140703365,-14.020298575387335,41.53761461779349,28.43994262666187,49.186264700405246,50.940582014209184,42.16849960462094,0.58,0.5581818181818182,0.5650000000000001,2.7,1.0,0.4581818181818182,10.0,5.9,98.59613399139053,10
1. Load Profile (With Solar Installed) SoL,enhanced_md_calibrated,112.48421947433238,140.76056358157044,-15.567008435364926,41.613150262520584,28.676854099441993,49.18856687797493,50.831715060219054,41.972023389596295,0.62,0.5981818181818181,0.605,2.5,1.1,0.4381818181818182,10.4,5.2,113.81505749816324,10
1. Load Profile (With Solar Installed) SoL,enhanced_peak_confirmed,111.20318964731885,139.5958558259695,-14.345115242054002,41.5940819677627,28.488475803401712,49.22355708463793,50.97727801097601,42.193638870544795,0.6583333333333333,0.62,0.6018620268620268,2.5,1.3,0.3781818181818182,14.7,5.8,110.49373399139051,10
1. Load Profile (With Solar Installed) SoL,enhanced_peak_priority,111.20318964731885,139.5958558259695,-14.345115242054002,41.5940819677627,28.488475803401712,49.22355708463793,50.97727801097601,42.193638870544795,0.42000000000000004,0.8181818181818181,0.5523809523809524,1.4,3.7,0.4381818181818182,9.5,5.8,110.49373399139051,10
1. Load Profile (With Solar Installed) SoL,ridge_only,114.48506062126314,143.0286278359559,-18.714883306214936,40.24125469771813,28.87488765716177,47.71876902060719,49.7679469541688,41.018882077974254,0.62,0.5981818181818181,0.605,2.5,1.0,0.4581818181818182,9.4,5.5,96.75443196732029,10
1. Load Profile (With Solar Installed) SoL,seasonal,147.50598214285714,187.29770793662934,-40.50645833333335,52.86306488617363,38.66008540282441,59.49580462351977,64.36390683637231,53.11338038018836,0.56,0.5381818181818182,0.545,2.8,2.0,0.3472727272727273,14.1,8.4,173.61000000000004,10
2. Load Profile (No Solar) E,direct_hgb,194.93300195313364,231.9443548752548,8.850826983264522,21.856715008831646,20.04678438864172,21.903702606552862,26.44321959659124,20.87811637077394,0.2914285714285714,0.33,0.3078787878787879,3.4,3.0,0.19,15.3,10.5,290.62166632143897,10
2. Load Profile (No Solar) E,enhanced,150.95627069663834,180.4130591150044,4.413063020489245,17.011989238424622,16.61552986078602,17.355187212933526,20.52680290494415,16.09628869887205,0.4,0.39,0.3945454545454546,3.1,2.9,0.19666666666666668,23.6,12.5,140.86981445162712,10
2. Load Profile (No Solar) E,enhanced_late_peak_uplift,151.87825687992952,181.781948747659,5.3668301833530485,17.1496006698509,16.723810703946064,17.49464048960005,20.732217091515786,16.25232528439261,0.4,0.39,0.3945454545454546,3.1,2.9,0.19666666666666668,23.6,14.0,140.06392623408843,10
2. Load Profile (No Solar) E,enhanced_md_calibrated,167.5525516619293,202.84320991875538,28.113140342899005,18.879667248109076,17.92493715424971,19.28799965899558,23.129042996792883,18.194139974297237,0.4,0.39,0.3945454545454546,3.1,2.9,0.19666666666666668,23.6,12.5,172.4571536892867,10
2. Load Profile (No Solar) E,enhanced_peak_confirmed,150.95627069663834,180.4130591150044,4.413063020489245,17.011989238424622,16.61552986078602,17.355187212933526,20.52680290494415,16.09628869887205,0.5,0.5,0.3076853440060987,2.5,10.1,0.08,21.2,12.5,140.86981445162712,10
2. Load Profile (No Solar) E,enhanced_peak_priority,150.95627069663834,180.4130591150044,4.413063020489245,17.011989238424622,16.61552986078602,17.355187212933526,20.52680290494415,16.09628869887205,0.33999999999999997,0.6666666666666667,0.45,1.7,4.1,0.2166666666666667,20.9,12.5,140.86981445162712,10
2. Load Profile (No Solar) E,ridge_only,157.67815687191455,188.7751952271856,-5.5030659723088835,17.73450332872116,17.438835217872924,17.97258377223565,21.404728929829723,16.766770644597905,0.4,0.39,0.3945454545454546,3.1,3.0,0.17333333333333334,28.1,14.9,134.94429900225322,10
2. Load Profile (No Solar) E,seasonal,152.88607812499998,181.8153440543175,32.19320312499997,17.504825761311753,16.69820570699276,17.94285870051393,21.043883883794173,16.517545020427168,0.42000000000000004,0.41,0.41454545454545466,3.0,2.5,0.21666666666666665,20.1,11.7,110.56074999999996,10
