site_id,fold,model,blend_weight,mean_effective_blend_weight,selected_alpha,calibration_intercept,calibration_slope,drift_slope_kw_per_step,cumulative_error_kw,overprediction_ratio,mae_kw,rmse_kw,mean_error_kw,wape_pct,smape_pct,mape_pct,nrmse_by_median_pct,nrmse_by_peak_pct,peak_precision,peak_recall,peak_f1,peak_false_negative_count,peak_false_positive_count,peak_capture_rate_at_k,md_peak_rank,peak_time_error_intervals,md_abs_error_kw
1. Load Profile (With Solar Installed) SoL,1,enhanced,0.65,0.5579338312962124,30.0,-0.014054434926690852,1.0158130466696043,7.397056389374567,-2693.885749826408,0.5208333333333334,113.93251602737057,157.1388558820478,-56.122619788050166,16.725061989460478,21.61341952988908,18.263845778543068,24.249823438587626,18.250738197682672,0.6,0.6,0.6,2.0,0.0,0.6,3.0,2.0,55.156325966233
1. Load Profile (With Solar Installed) SoL,2,enhanced,0.65,0.5579338312962124,100.0,-0.01722335015853571,1.019806983765663,0.8476400482556452,241.36451658618853,0.5208333333333334,23.83405377174601,35.85972947135139,5.028427428878928,3.4446422408882587,3.7154262235039,3.84871671434908,5.5553415137647395,3.962401046558165,1.0,1.0,1.0,0.0,0.0,0.8,5.0,1.0,16.01591915334484
1. Load Profile (With Solar Installed) SoL,3,enhanced,0.65,0.5579338312962124,100.0,-0.017399640283516638,1.0201721157625285,-1.4430329046100527,-1045.8859428902088,0.375,43.991344123524584,56.901963926051934,-21.789290476879348,6.207074040768923,6.557300593340537,6.396594032247338,8.727295080682811,6.191726216110112,0.2,0.2,0.20000000000000004,4.0,1.0,0.2,10.0,7.0,25.497255703056908
1. Load Profile (With Solar Installed) SoL,4,enhanced,0.65,0.5579338312962124,3.0,-0.012817366649268315,1.0168984733746944,9.056051323458338,11226.965185939123,0.7083333333333334,245.09384003341006,294.62071051403944,233.8951080403984,65.75654978259283,62.5152758664819,141.90556304709042,79.73496901597821,45.81970614526275,0.0,0.0,0.0,5.0,5.0,0.0,35.0,15.0,153.07701270181985
1. Load Profile (With Solar Installed) SoL,5,enhanced,0.65,0.5579338312962124,3.0,-0.01332803394871749,1.0164699503161787,-6.979279777905383,8367.179371451133,1.0,174.31623690523193,210.07321995336375,174.31623690523193,246.38337371764234,95.35669688402609,246.95391084885162,297.9761985154095,280.09762660448496,0.4,0.18181818181818182,0.25000000000000006,9.0,0.0,0.18181818181818182,5.0,4.0,360.4858937918754
1. Load Profile (With Solar Installed) SoL,6,enhanced,0.65,0.5460625235777878,3.0,-0.013811023217575836,1.0168553959142945,-10.287988774237762,-11514.554503099043,0.0,239.88655214789674,290.6025286945877,-239.88655214789674,41.702779700478224,50.05470447712651,37.159766985701,44.60514638443403,30.557573995224786,0.6,0.6,0.6,2.0,3.0,0.2,8.0,13.0,334.0319999999999
1. Load Profile (With Solar Installed) SoL,7,enhanced,0.65,0.5579338312962124,10.0,-0.005977009830104452,1.0136423142711992,6.766267227052925,-6829.0681552543965,0.0625,143.96789194695825,202.1942547209697,-142.2722532344666,19.080704678615003,28.115783002696304,21.283885039018656,27.85044830867351,21.41888291535696,1.0,1.0,1.0,0.0,1.0,0.8,3.0,2.0,32.04504358991994
1. Load Profile (With Solar Installed) SoL,8,enhanced,0.65,0.5579338312962124,10.0,-0.0065755419009629005,1.0113285765801243,1.733293350694825,-2431.3295293495107,0.16666666666666666,60.253713307645285,67.38896959650732,-50.652698528114804,7.797520257655425,8.100400591324771,7.764931582273673,9.237692885059262,7.07124549805953,0.4,0.4,0.4000000000000001,3.0,0.0,0.4,14.0,9.0,53.08887847857204
1. Load Profile (With Solar Installed) SoL,9,enhanced,0.65,0.5579338312962124,3.0,-0.005984737445260091,1.0096582314262108,-1.5743117316863893,-1376.8144863244133,0.2708333333333333,38.40024700191189,44.550814285880946,-28.68363513175861,5.055435699648301,5.120615049285418,4.9815016195209765,6.461321868873233,4.640709821445932,1.0,1.0,1.0,0.0,0.0,1.0,2.0,1.0,52.66071426743645
1. Load Profile (With Solar Installed) SoL,10,enhanced,0.65,0.5579338312962124,3.0,-0.005358587161857109,1.0088715785743079,-0.601873355213889,-829.626023418385,0.3333333333333333,28.355501207493102,36.62751121489497,-17.28387548788302,3.7876775698771885,3.73513581634261,3.6768551987834854,5.374543098297134,3.9257782652620548,0.6,0.6,0.6,2.0,0.0,0.4,14.0,4.0,22.87829626164671
2. Load Profile (No Solar) E,1,enhanced,0.3,0.2641223404255319,100.0,0.03927543523985508,0.9485790066983456,0.14909598403215588,-3401.2868519141466,0.4166666666666667,134.36528020669235,183.5792291452484,-70.86014274821139,12.289273165376482,12.477882550914758,11.709873246063216,16.96665703745364,12.479893211777593,0.2,0.2,0.20000000000000004,4.0,2.0,0.2,46.0,7.0,196.04462330345746
2. Load Profile (No Solar) E,2,enhanced,0.3,0.2641223404255319,100.0,0.04556249105190705,0.9570964312322845,2.5857126585114565,-8008.935032224643,0.22916666666666666,208.6673963471969,247.86938738466625,-166.85281317134672,17.17515479991332,18.17208542459563,16.477470250988933,20.70755115995541,15.889063293888864,0.2,0.2,0.20000000000000004,4.0,4.0,0.0,27.0,15.0,287.86482568885367
2. Load Profile (No Solar) E,3,enhanced,0.3,0.2641223404255319,100.0,0.05086766013820953,0.9641555148020087,-4.806852987888827,-8826.90485720318,0.10416666666666667,201.74422798066715,231.53722991406576,-183.89385119173292,16.45464468415494,17.562063160278893,15.870246821779322,19.135308257360805,15.093691650199855,0.6,0.6,0.6,2.0,3.0,0.2,7.0,1.0,238.07014339534794
2. Load Profile (No Solar) E,4,enhanced,0.3,0.2641223404255319,100.0,0.048574295408142204,0.9721501454562158,4.773483608400342,2332.785958098515,0.5416666666666666,157.18258059622028,197.02548010238175,48.59970746038573,13.66631743912651,13.761446720110118,15.028640932373058,16.984955181239805,13.855518994541614,0.4,0.4,0.4000000000000001,3.0,3.0,0.2,17.0,10.0,34.29860676021917
2. Load Profile (No Solar) E,5,enhanced,0.3,0.2641223404255319,100.0,0.04389072223410439,0.9599253673485982,0.09345443312494567,14107.854651565267,1.0,293.9136385742764,321.5643490075415,293.9136385742764,36.97317569925641,30.686925507400435,37.49171224988668,40.70434797563817,34.35516549225871,0.6,0.5,0.5454545454545454,3.0,1.0,0.16666666666666666,14.0,9.0,400.3237060378767
2. Load Profile (No Solar) E,6,enhanced,0.3,0.2641223404255319,100.0,0.04126503225880066,0.9533596456685349,-3.8616397427350506,4543.647814417347,0.7708333333333334,124.0847894954275,151.3385894849435,94.65932946702806,17.801099542067963,17.033976389930984,19.425325412508943,22.437151888056857,17.023463384133127,0.2,0.2,0.20000000000000004,4.0,3.0,0.2,18.0,11.0,48.22498565687238
2. Load Profile (No Solar) E,7,enhanced,0.3,0.2641223404255319,100.0,0.03750857004613977,0.9794838719511463,3.3382011280550077,2038.3995352153631,0.7291666666666666,91.01833470188238,107.67463725263175,42.4666569836534,13.242240742271926,12.76848923462067,13.441315204999594,16.106901608471464,12.833687396022855,0.2,0.2,0.20000000000000004,4.0,4.0,0.2,44.0,23.0,41.13606495989484
2. Load Profile (No Solar) E,8,enhanced,0.39,0.3315000000000001,30.0,0.006700997884928484,0.9966812109472074,3.52942142366962,2006.693473678423,0.6875,89.83682054703691,117.77182924166172,41.806114034967145,13.513953386999818,13.49417538947317,14.781047343977235,17.69674368770274,13.158863602420304,0.2,0.2,0.20000000000000004,4.0,4.0,0.2,31.0,14.0,66.67138211806537
2. Load Profile (No Solar) E,9,enhanced,0.48,0.408,100.0,-0.00786116151792955,1.0077795724660483,-2.89676179198362,-2531.426682163274,0.3541666666666667,87.84931777723511,113.73060361986505,-52.738055878401546,11.95330457042063,12.7989546104052,11.798842964966132,15.611613400118744,11.921446920321284,0.8,0.8,0.8000000000000002,1.0,1.0,0.6,2.0,4.0,85.53623997137413
2. Load Profile (No Solar) E,10,enhanced,0.48,0.408,3.0,-0.0023272307191486877,0.9992299129775712,-1.0913100665579067,-142.55775963483143,0.4583333333333333,120.90032073974838,132.0392559970382,-2.9699533257256547,17.05072835465821,17.39929962013031,17.527397701792133,18.91679885344387,14.352093043156327,0.6,0.6,0.6,2.0,4.0,0.0,30.0,31.0,10.527566624309543
3. Load Profile (No Solar) SuN,1,enhanced,0.3,0.2641223404255319,0.01,-0.012890548067334785,0.9999490034892029,-0.43756018933884067,-3354.495179172862,0.10416666666666667,70.01532285862625,107.0801383262058,-69.88531623276796,62.72204056910743,59.94045413373976,38.245859613716775,214.8207214785252,46.00891575249306,0.2,0.2,0.20000000000000004,4.0,4.0,0.0,14.0,8.0,188.78059748530274
3. Load Profile (No Solar) SuN,2,enhanced,0.3,0.2641223404255319,0.01,-0.0053867843210150925,0.9937345273427698,0.8960493824564973,170.06984007667236,0.4166666666666667,20.128215115793072,30.549383275523383,3.5431216682640074,18.204508862130936,18.48792217745123,18.90111717365036,41.52998644575718,13.239238199948769,0.6,0.6,0.6,2.0,4.0,0.2,13.0,11.0,10.434516168255442
3. Load Profile (No Solar) SuN,3,enhanced,0.75,0.6375000000000001,0.01,-0.007736796829638593,0.9961690024570093,0.32582870659271423,347.33600926627264,0.5,14.415200106555446,20.473783157400643,7.236166859714014,19.52089647707079,20.590059794032253,24.30191718871121,48.50032272078616,14.647564837946197,1.0,1.0,1.0,0.0,0.0,0.8,4.0,2.0,21.611603985115153
3. Load Profile (No Solar) SuN,4,enhanced,0.39,0.3315000000000001,0.3,-0.003312843502753005,0.9960520742901486,0.08957356467939873,1226.2563361341222,0.5625,30.69964301949552,44.54585667637336,25.547007002794214,69.8804364330494,42.20249962843538,68.3542461279556,106.93068081301126,71.95258001269157,0.0,0.0,0.0,5.0,5.0,0.0,15.0,10.0,68.74857122905877
3. Load Profile (No Solar) SuN,5,enhanced,0.75,0.6375000000000001,0.3,-0.007949810015276703,0.9975135752375137,-1.3592800849987008,-4728.442089464677,0.0,98.50921019718078,135.0774342926787,-98.50921019718078,69.00573974933016,76.77031274447621,50.53348048134517,169.91958013503088,48.64104055658056,0.2,0.2,0.20000000000000004,4.0,4.0,0.0,12.0,2.0,216.92751389644098
3. Load Profile (No Solar) SuN,6,enhanced,0.75,0.6375000000000001,3.0,-0.009839689046087764,1.004757759479399,0.6445456812302436,-224.33325488493495,0.3958333333333333,13.956133345524764,23.835740008774806,-4.673609476769478,9.802856119662957,11.856231217809247,11.328195547256536,25.6063004570261,8.877046576614637,1.0,1.0,1.0,0.0,0.0,0.8,4.0,1.0,8.945689407964153
3. Load Profile (No Solar) SuN,7,enhanced,0.75,0.6375000000000001,3.0,0.00014197769420052354,1.0031585491587152,-0.005867307687397776,146.08733966164058,0.625,12.107609846447938,17.345254462597037,3.0434862429508454,8.915919269153052,12.51687318410499,13.530271630818614,19.081100320998953,6.9159375882559715,0.8,0.8,0.8000000000000002,1.0,0.0,0.4,8.0,3.0,9.766789029679444
3. Load Profile (No Solar) SuN,8,enhanced,0.75,0.6375000000000001,3.0,0.01232951795278865,0.9996521651110892,0.32771232499847996,-641.1040425009347,0.3333333333333333,20.711768547098206,31.941883181808276,-13.356334218769474,14.142890257551382,12.846291091791946,12.687405118784742,32.27885832327409,11.265563541865035,0.0,0.0,0.0,5.0,5.0,0.0,15.0,11.0,43.87426269105799
3. Load Profile (No Solar) SuN,9,enhanced,0.75,0.6375000000000001,3.0,0.009815265193256196,1.0002276500294358,-0.3108732206101129,-565.3210356803827,0.3541666666666667,19.45186258130307,28.827561336016874,-11.777521576674639,12.846469462741773,13.592376585526807,13.065099641146357,28.540924827969576,9.36248561602341,0.2,0.2,0.20000000000000004,4.0,1.0,0.0,14.0,8.0,36.651974882559614
3. Load Profile (No Solar) SuN,10,enhanced,0.75,0.6375000000000001,3.0,0.007786057309764516,1.0023935285962071,1.4962613179293114,1924.880736345329,0.5833333333333334,51.113623363194186,69.19434512174351,40.101682007194356,56.290744594257575,40.39359744813172,56.32179099703515,114.88859564733144,46.14573903421847,0.6,0.6,0.6,2.0,4.0,0.2,8.0,8.0,115.91561754733314
4. Load Profile (With Solar) Mi2,1,enhanced,0.2,0.18066273200543234,100.0,0.03349543790047082,0.93643837028266,0.07468705384632313,-5156.263955576003,0.3125,212.65114296271335,250.01659804131654,-107.42216574116674,19.159918275725946,20.02583048961184,19.15335392292322,22.677242452727125,16.69002657151646,1.0,1.0,1.0,0.0,1.0,0.8,2.0,1.0,202.61091275333342
4. Load Profile (With Solar) Mi2,2,enhanced,0.2,0.18066273200543234,100.0,0.03334236655984851,0.9323301823836638,0.1841641804021788,-4841.561337496222,0.25,152.22322741930876,177.35812521747178,-100.86586119783796,12.704899786348388,13.608953127113143,13.231562386942775,14.228489788806401,11.554275258467218,0.4,0.4,0.4000000000000001,3.0,4.0,0.0,16.0,13.0,212.58664751854508
4. Load Profile (With Solar) Mi2,3,enhanced,0.2,0.18066273200543234,100.0,0.03391535228072816,0.9339135787714753,-2.4032310933424563,256.71307956952376,0.4375,113.37656056942683,133.4594936879111,5.348189157698411,9.976123090928649,10.625071155259713,11.06203782661339,11.19626624898583,8.915129838871817,0.8,0.8,0.8000000000000002,1.0,1.0,0.4,7.0,3.0,140.1894200035215
4. Load Profile (With Solar) Mi2,4,enhanced,0.2,0.18066273200543234,3.0,0.03380955921673965,0.9304419544834257,5.185606675035101,6474.264392373493,0.6458333333333334,186.35153616626963,263.72142193139496,134.88050817444778,19.420047190579552,20.447538535306663,27.058917618988815,26.924085955221535,19.320250690944686,0.0,0.0,0.0,5.0,5.0,0.0,14.0,10.0,48.70171899538491
4. Load Profile (With Solar) Mi2,5,enhanced,0.2,0.18066273200543234,3.0,0.03472341242862338,0.9427985352509991,-9.832077304257002,-2985.4542776545086,0.3125,210.20795832617583,284.71330915013135,-62.19696411780226,19.983723831289616,21.977584132071197,23.827270892529082,26.746200953511636,19.63540063104354,0.0,0.0,0.0,5.0,5.0,0.0,44.0,9.0,213.81270581223316
4. Load Profile (With Solar) Mi2,6,enhanced,0.38,0.3261767013731704,3.0,0.03529749729985352,0.9446625781056248,2.999830677942229,-3053.452640455729,0.3333333333333333,170.06034633481406,195.4756704548164,-63.61359667616102,16.31274305369919,17.96001225302032,17.876503079492768,17.642208524802925,14.642372318712837,0.8,0.8,0.8000000000000002,1.0,1.0,0.4,10.0,2.0,151.06594429121242
4. Load Profile (With Solar) Mi2,7,enhanced,0.38,0.3261767013731704,3.0,0.035088052120200774,0.9437882633469246,6.062888305642678,-57.75392170149223,0.4583333333333333,130.41083138167156,158.05849307268448,-1.2032067021144215,13.713021175780396,13.95957169836427,14.603484110817119,16.611507416992588,11.848462749076798,0.0,0.0,0.0,5.0,5.0,0.0,16.0,43.0,123.95179980808962
4. Load Profile (With Solar) Mi2,8,enhanced,0.29000000000000004,0.24892432473215634,3.0,0.03385846959778191,0.9397469118474651,-7.2389465026066775,1250.4949484682725,0.4791666666666667,139.00410498758887,173.06479828288818,26.05197809308901,13.83756489154313,14.523678410557242,15.99040602443749,17.605778055227688,12.781742856934136,0.6,0.6,0.6,2.0,1.0,0.4,17.0,7.0,72.64774078544315
4. Load Profile (With Solar) Mi2,9,enhanced,0.38,0.3261767013731704,3.0,0.033509914153458976,0.9403336676478998,2.1033767873393066,-381.9448660879299,0.4583333333333333,131.20998242796676,158.79323471914753,-7.957184710165206,12.321873410956908,13.084857942431658,13.792131373505415,14.847427276217628,11.143384892571756,1.0,1.0,1.0,0.0,1.0,0.2,12.0,4.0,93.60152117920279
4. Load Profile (With Solar) Mi2,10,enhanced,0.38,0.3261767013731704,3.0,0.0323134421747948,0.939879563052193,3.813492252737442,1676.437960077205,0.5833333333333334,106.06915025748778,138.64416191985396,34.92579083494177,10.380490575079849,11.071646809571378,12.18668435119974,13.299200184158654,9.938649599989532,0.2,0.2,0.20000000000000004,4.0,3.0,0.2,18.0,31.0,66.96294252784173
