variant,site_id,mae_kw,rmse_kw,mean_error_kw,wape_pct,smape_pct,mape_pct,nrmse_by_median_pct,nrmse_by_peak_pct,peak_precision,peak_recall,peak_f1,peak_false_negative_count,peak_false_positive_count,peak_capture_rate_at_k,md_peak_rank,peak_time_error_intervals,md_abs_error_kw
global_regime_current,1. Load Profile (With Solar Installed) SoL,27.53285928329596,34.73692918329608,-17.152558922915045,3.677790520393516,3.639802216885393,3.59106407319876,5.097128273411017,3.723143535187147,0.4,0.4,0.4000000000000001,3.0,3.0,0.4,15.0,4.0,22.454166864313834
global_regime_current,2. Load Profile (No Solar) E,117.92603235833225,129.36316352033808,7.002428214946678,16.631260623475683,16.825836953556287,17.148200613995176,18.533404515807746,14.061213426123704,0.0,0.0,0.0,5.0,5.0,0.0,28.0,31.0,11.634792941786372
global_regime_current,3. Load Profile (No Solar) SuN,51.150349838756675,69.87835690405099,42.52085903714977,56.33119096686249,38.970481750212336,56.555202029887454,116.02431205504176,46.6019067910945,0.2,0.2,0.20000000000000004,4.0,4.0,0.2,8.0,8.0,115.29969279951214
global_regime_current,4. Load Profile (With Solar) Mi2,101.49990910886028,136.60333499733642,41.243049912861075,9.93332036052214,10.690917318312604,11.964618366621588,13.103437409816443,9.792353763249922,0.0,0.0,0.0,5.0,5.0,0.0,17.0,31.0,45.30075162261551
global_regime_softened,1. Load Profile (With Solar Installed) SoL,28.49116386697827,36.24376725136784,-18.152307197677626,3.805799147367276,3.752604988458138,3.696519758018715,5.318234372907974,3.884648151272009,0.4,0.4,0.4000000000000001,3.0,3.0,0.4,15.0,4.0,21.298431530420544
global_regime_softened,2. Load Profile (No Solar) E,117.92603235833225,129.36316352033808,7.002428214946678,16.631260623475683,16.825836953556287,17.148200613995176,18.533404515807746,14.061213426123704,0.0,0.0,0.0,5.0,5.0,0.0,28.0,31.0,11.634792941786372
global_regime_softened,3. Load Profile (No Solar) SuN,51.150349838756675,69.87835690405099,42.52085903714977,56.33119096686249,38.970481750212336,56.555202029887454,116.02431205504176,46.6019067910945,0.2,0.2,0.20000000000000004,4.0,4.0,0.2,8.0,8.0,115.29969279951214
global_regime_softened,4. Load Profile (With Solar) Mi2,100.16692174054685,132.0554008928808,31.45990709904662,9.80286713467949,10.520539837887206,11.533114479673793,12.667184737926217,9.466336981568517,0.0,0.0,0.0,5.0,5.0,0.0,17.0,31.0,43.07862935707226
seasonal_anchor_baseline,1. Load Profile (With Solar Installed) SoL,18.67708333333335,23.13501584899681,-9.522916666666701,2.494851672510716,2.670677223940104,2.64968680993459,3.3947198604544115,2.4796372828506765,0.4,0.4,0.4000000000000001,3.0,3.0,0.4,12.0,11.0,11.0
seasonal_anchor_baseline,2. Load Profile (No Solar) E,109.01994791666665,123.79371335207126,43.550156249999965,15.37522403408256,14.906427045514864,15.876044191784274,17.735489018921385,13.455838407833832,0.0,0.0,0.0,5.0,5.0,0.0,14.0,7.0,56.69999999999993
seasonal_anchor_baseline,3. Load Profile (No Solar) SuN,61.95772068958333,86.21090203371577,56.898298587499994,68.23320284296382,40.39204054818417,63.427482803381096,143.14246990439187,57.49408828355685,0.2,0.2,0.20000000000000004,4.0,4.0,0.2,7.0,7.0,151.02971749999998
seasonal_anchor_baseline,4. Load Profile (With Solar) Mi2,118.91041666666665,155.22833249227838,81.53541666666662,11.63720512977348,11.365800694584475,12.431290475555544,14.890007912928382,11.127479031704544,0.0,0.0,0.0,5.0,5.0,0.0,19.0,31.0,51.59999999999991
